City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Abilene city, Texas",356.3018688,3874.341856,10.9,15.4
"Agawam city, Massachusetts",736.2052628,1858.736059,4.3,5.6
"Aiken city, South Carolina",0,0,10.1,14.4
"Akron city, Ohio",0,0,14,17.5
"Alameda city, California",391.1410439,3280.663127,6,8.2
"Alamogordo city, New Mexico",313.0891462,4026.393752,13.2,16.5
"Albany city, Georgia",679.1043841,6405.132125,21.5,27.1
"Albany city, New York",1136.479566,6098.63092,16,21.7
"Albany city, Oregon",219.9780022,6724.327567,9.3,11.6
"Albuquerque city, New Mexico",1168.005385,7802.84906,10,13.5
"Alexandria city, Louisiana",1149.474222,10796.54306,23.2,27.4
"Alexandria city, Virginia",0,0,6.8,8.9
"Alhambra city, California",291.6191201,2151.987736,11.5,14.3
"Allen city, Texas",143.9342015,2458.304775,2,3
"Allen Park city, Michigan",189.6393691,2161.888808,1.9,3.2
"Allentown city, Pennsylvania",670.8464561,4707.626003,14.6,18.5
"Alpharetta city, Georgia",355.4254652,8108.578995,2.9,5.2
"Altamonte Springs city, Florida",337.6598496,4310.551272,5.6,7.4
"Altoona city, Pennsylvania",379.8670465,3331.750554,12.9,17.7
"Amarillo city, Texas",801.61889,6872.456509,11.1,14.5
"Ames city, Iowa",140.7204889,3059.665487,7.6,20.4
"Anaheim city, California",459.9010546,2765.264939,10.4,14.1
"Anchorage municipality, Alaska",584.1318513,4347.259486,5.1,7.3
"Anderson city, Indiana",0,0,10.8,13.4
"Anderson city, South Carolina",0,0,15.4,20.8
"Andover city, Minnesota",135.7062541,2675.351867,1.2,2
"Ankeny city, Iowa",165.2023729,3213.937073,2.5,4
"Ann Arbor city, Michigan",274.0072888,3324.260045,4.6,16.6
"Annapolis city, Maryland",1562.269713,5565.217391,9.5,12.7
"Antioch city, California",612.4682704,2654.805431,6.5,8.5
"Apache Junction city, Arizona",334.3239227,5559.683011,7.3,11.6
"Apopka city, Florida",1190.527172,7305.896964,7.1,9.5
"Apple Valley city, Minnesota",107.6181212,2725.635878,1.1,2.1
"Apple Valley town, California",313.4690576,2907.172711,13.3,17.3
"Appleton city, Wisconsin",141.343786,2385.358532,3.3,5.5
"Arcadia city, California",265.5408245,2600.007641,6.7,7.9
"Arlington CDP, Virginia",0,0,5,7.8
"Arlington city, Texas",664.6473548,5954.094037,7.3,9.9
"Arvada city, Colorado",109.0522882,3116.0506,3.5,5.2
"Asheville city, North Carolina",703.058593,6748.209938,10.3,15.5
"Atascadero city, California",527.9747833,2509.850276,6.9,9
"Athens-Clarke County (balance), Georgia",445.6800866,6766.909315,15,28.6
"Atlanta city, Georgia",2743.057693,10392.73823,21.3,24.4
"Atlantic City city, New Jersey",1360.264867,16767.18938,19.1,23.6
"Attleboro city, Massachusetts",268.1226539,2271.730122,3.7,6.2
"Auburn city, Alabama",288.3240301,4437.883471,14,38.1
"Auburn city, New York",244.2002442,3484.803485,12.5,16.5
"Auburn city, Washington",0,0,10.2,12.8
"Augusta-Richmond County (balance), Georgia",0,0,16.3,19.6
"Aurora city, Colorado",573.7335177,5214.301958,6.8,8.9
"Austin city, Texas",500.8494655,5822.967782,9.1,14.4
"Aventura city, Florida",502.7959212,14332.03327,5.6,9.1
"Avondale city, Arizona",467.1196312,5769.230769,10.3,13.8
"Azusa city, California",332.9582769,2452.409929,15.1,18.8
"Bakersfield city, California",315.1047855,4208.585285,14.6,18
"Baldwin Park city, California",406.0176658,1913.122975,15.4,18.2
"Ballwin city, Missouri",53.39805825,1490.291262,2,3.2
"Baltimore city, Maryland",2469.770277,7698.528447,18.8,22.9
"Bangor city, Maine",165.5031295,5476.649013,11.9,16.6
"Barberton city, Ohio",366.0083348,5062.511325,11.5,13.3
"Barnstable Town city, Massachusetts",0,2736.197614,6.3,8.8
"Bartlesville city, Oklahoma",447.6922188,3919.473167,9.4,12.7
"Bartlett city, Tennessee",168.787328,2425.344066,2.1,2.7
"Baton Rouge city, Louisiana",0,0,18,24
"Battle Creek city, Michigan",1576.53495,7751.450856,10.7,14.4
"Bay City city, Michigan",541.8817557,4380.686193,10.3,14.6
"Bayonne city, New Jersey",274.9549781,1905.389761,8.4,10.1
"Baytown city, Texas",330.1469776,4166.206211,13,15.5
"Beaumont city, Texas",940.2630633,6283.025316,16.4,19.6
"Beavercreek city, Ohio",84.92878115,3889.738177,1.5,2.4
"Beaverton city, Oregon",244.7006545,4126.884045,5,7.8
"Bedford city, Texas",219.1143968,2838.960445,2.4,3.7
"Bell city, California",717.3521673,1750.450076,21.2,24.1
"Bell Gardens city, California",825.252282,1834.380404,25.3,27.3
"Bellevue city, Nebraska",82.70938534,3169.075396,4.1,5.9
"Bellevue city, Washington",128.6489088,4046.424671,3.8,5.7
"Bellflower city, California",664.1583012,3116.669459,12.8,15.8
"Bellingham city, Washington",207.6650084,6222.201559,9.4,20.6
"Belmont city, California",305.2226995,1503.504409,1.7,4
"Beloit city, Wisconsin",295.906625,4208.449778,9.6,12.5
"Bend city, Oregon",356.0052464,7328.88996,6.9,10.5
"Benicia city, California",183.2357274,1749.721554,3.1,4.3
"Bergenfield borough, New Jersey",86.60735375,1015.668058,2.6,3.5
"Berkeley city, California",681.1632172,6264.17208,8.3,20
"Bessemer city, Alabama",1433.335471,11168.47303,24.2,27.2
"Bethel Park borough, Pennsylvania",0,0,2.5,3.7
"Bethlehem city, Pennsylvania",311.9072708,3127.502634,11.1,15
"Bettendorf city, Iowa",192.6782274,2318.354155,3.3,4.8
"Beverly city, Massachusetts",0,0,4,5.7
"Beverly Hills city, California",368.605592,4216.488357,7.9,9.1
"Big Spring city, Texas",415.1916437,4772.518684,17.1,22.2
"Billings city, Montana",0,0,9.2,12
"Biloxi city, Mississippi",643.9648672,9871.410813,11.2,14.6
"Binghamton city, New York",365.6983194,4491.10408,16.5,23.7
"Birmingham city, Alabama",1160.839491,7012.305608,20.9,24.7
"Bismarck city, North Dakota",55.50482534,3344.613346,5.7,8.4
"Blacksburg town, Virginia",166.2486968,1845.642312,15.9,43.2
"Blaine city, Minnesota",0,0,2.1,3
"Bloomington city, Indiana",178.6551078,3816.190253,10.3,29.6
"Bloomington city, Minnesota",271.3169567,5046.945714,2.3,4
"Blue Springs city, Missouri",0,0,3.9,4.8
"Boca Raton city, Florida",272.1158955,4019.540513,4.1,6.7
"Boise City city, Idaho",375.170924,4413.572799,5.9,8.4
"Bonita Springs city, Florida",0,0,3.5,6.7
"Bossier City city, Louisiana",844.5477248,6390.468923,11.4,14.8
"Boston city, Massachusetts",1282.563305,5000.630597,15.3,19.5
"Bothell city, Washington",148.0956827,2475.773478,3.6,5.1
"Boulder city, Colorado",225.3183397,3465.561435,6.4,17.4
"Bountiful city, Utah",240.9303619,2212.389381,3,4
"Bowie city, Maryland",0,0,0.7,1.6
"Bowling Green city, Kentucky",600.2452615,5770.099611,15.7,21.8
"Bowling Green city, Ohio",122.3740567,3878.577742,8,25.3
"Boynton Beach city, Florida",861.150263,7717.693974,7.4,10.2
"Bozeman city, Montana",0,0,9.2,20.2
"Bradenton city, Florida",924.6259377,5890.729672,9.7,13.6
"Brea city, California",423.1196941,3520.572839,3.4,5.3
"Bremerton city, Washington",930.6464025,6134.570989,16,19.4
"Brentwood city, Tennessee",43.88589667,2577.299023,1.5,2
"Bridgeport city, Connecticut",1395.237626,4863.640839,16.2,18.4
"Bristol city, Connecticut",386.1758811,2434.374542,4.8,6.6
"Bristol city, Tennessee",494.3890764,3656.909676,11.5,15
"Brockton city, Massachusetts",1034.364582,4026.336833,12.1,14.5
"Broken Arrow city, Oklahoma",167.9282817,2704.937091,3.4,4.5
"Brookfield city, Wisconsin",79.2514572,2807.035484,1.4,2.2
"Brooklyn Center city, Minnesota",475.8738934,7512.509185,4.7,7.4
"Brooklyn Park city, Minnesota",473.5079172,4759.439708,3.8,5.1
"Broomfield city, Colorado",135.7991161,2980.173329,2.1,4.2
"Brownsville city, Texas",593.545196,6838.786096,32.4,36
"Brunswick city, Ohio",0,0,3.2,4.6
"Bryan city, Texas",717.8516657,6597.709401,15.5,22.3
"Buena Park city, California",376.0584863,2290.538053,8,11.3
"Buffalo city, New York",1186.228462,5381.656114,23,26.6
"Bullhead City city, Arizona",641.025641,4944.594769,11.3,15.1
"Burbank city, California",293.4492639,2840.628396,8.1,10.5
"Burien city, Washington",747.0300998,9026.310036,6.9,9.4
"Burlingame city, California",223.307746,2965.806001,3.7,5.7
"Burlington city, Iowa",571.7025671,4898.200059,10,12.6
"Burlington city, North Carolina",599.5582203,6626.696119,9.7,13.7
"Burlington city, Vermont",452.8570702,7238.0807,10.4,20
"Burnsville city, Minnesota",99.79718636,3051.862344,3.7,5.1
"Burton city, Michigan",435.8089704,6402.760123,5.5,8.7
"Butte-Silver Bow (balance), Montana",0,0,10.7,15
"Caldwell city, Idaho",558.7285821,5806.638523,12.6,16
"Calexico city, California",227.6707531,3884.41331,22.6,25.7
"Camarillo city, California",134.8596015,1735.514634,3.6,5.3
"Cambridge city, Massachusetts",544.1607367,4049.811637,8.7,12.9
"Camden city, New Jersey",1957.905616,5681.097461,32.8,35.5
"Campbell city, California",245.826078,2376.318754,3.2,4.8
"Canton city, Ohio",1456.041183,6646.815383,15.4,19.2
"Cape Coral city, Florida",215.3494626,3454.690675,5.3,7
"Cape Girardeau city, Missouri",293.0363898,6345.569823,8.5,15.2
"Carlsbad city, California",226.9154708,2378.175549,3.4,5.9
"Carlsbad city, New Mexico",488.018064,5805.229806,13.1,16.5
"Carmel city, Indiana",23.23371,1569.331503,1.6,2.5
"Carrollton city, Texas",193.5351806,3257.532054,4.1,5.6
"Carson city, California",916.0607192,2816.282595,7.2,9.3
"Carson City, Nevada",0,0,6.9,10
"Cary town, North Carolina",81.28048018,2310.241341,2.1,3.4
"Casa Grande city, Arizona",740.105952,9609.691493,12.4,16
"Casper city, Wyoming",348.3759238,4045.59093,8.5,11.4
"Cathedral City city, California",664.5514278,3807.429985,10.2,13.6
"Cedar Falls city, Iowa",340.6477986,2469.69654,5.6,16.7
"Cedar Hill city, Texas",312.3779774,3234.413641,4.2,5.5
"Cedar Park city, Texas",85.08224617,1832.813386,3,4.1
"Cedar Rapids city, Iowa",296.4267868,4992.674024,4.9,7.5
"Ceres city, California",525.1422872,6119.814587,10.1,12.9
"Cerritos city, California",365.6537637,3874.488895,4,5
"Chandler city, Arizona",245.1561011,4327.969281,4.6,6.6
"Chapel Hill town, North Carolina",480.3368938,5147.720045,6.4,21.6
"Charleston city, South Carolina",0,0,13.3,19.1
"Charleston city, West Virginia",0,0,12.7,16.7
"Charlottesville city, Virginia",1052.326195,5074.374934,12,25.9
"Chattanooga city, Tennessee",1791.25991,9991.482671,14,17.9
"Chelsea city, Massachusetts",1656.204561,3830.194702,20.6,23.3
"Chesapeake city, Virginia",0,0,6.1,7.3
"Chester city, Pennsylvania",2707.436328,4191.29631,22.8,27.2
"Chesterfield city, Missouri",75.15140798,2139.604792,1.8,2.6
"Cheyenne city, Wyoming",185.5220735,3744.663989,6.3,8.8
"Chico city, California",361.9363595,3540.190017,12.7,26.6
